date,tic,open,high,low,close,volume
2013-08-01 10:30:00,CSI300,2206.004,2245.333,2200.626,2238.99,2586631900.0
2013-08-01 11:30:00,CSI300,2239.156,2239.204,2217.425,2218.482,1102510300.0
2013-08-01 14:00:00,CSI300,2219.053,2232.846,2218.792,2227.299,886135900.0
2013-08-01 15:00:00,CSI300,2227.621,2245.56,2223.631,2245.364,1685121600.0
2013-08-02 10:30:00,CSI300,2263.495,2274.71,2255.96,2260.046,2401181200.0
2013-08-02 11:30:00,CSI300,2260.34,2272.5,2250.799,2263.282,1412508900.0
2013-08-02 14:00:00,CSI300,2263.885,2264.219,2252.747,2255.369,928405800.0
2013-08-02 15:00:00,CSI300,2255.132,2255.482,2244.252,2247.263,1346993400.0
2013-08-05 10:30:00,CSI300,2249.976,2257.559,2243.22,2254.675,1534404800.0
2013-08-05 11:30:00,CSI300,2254.501,2256.383,2248.501,2253.209,940910700.0
2013-08-05 14:00:00,CSI300,2253.845,2270.459,2253.412,2270.113,1262337000.0
2013-08-05 15:00:00,CSI300,2270.692,2278.329,2262.996,2278.329,1796562600.0
2013-08-06 10:30:00,CSI300,2270.672,2271.02,2256.715,2259.545,2031661300.0
2013-08-06 11:30:00,CSI300,2259.512,2275.972,2259.512,2273.3,1375693300.0
2013-08-06 14:00:00,CSI300,2274.13,2284.478,2271.321,2282.747,1548649100.0
2013-08-06 15:00:00,CSI300,2282.732,2302.484,2282.329,2293.641,2418685800.0
2013-08-07 10:30:00,CSI300,2292.379,2313.879,2290.893,2295.014,2864128900.0
2013-08-07 11:30:00,CSI300,2295.231,2310.648,2288.772,2309.939,1341962800.0
2013-08-07 14:00:00,CSI300,2310.089,2312.682,2287.887,2291.353,1538579900.0
2013-08-07 15:00:00,CSI300,2291.215,2292.628,2276.862,2280.623,1560197900.0
2013-08-08 10:30:00,CSI300,2277.253,2286.19,2267.073,2271.191,1631079600.0
2013-08-08 11:30:00,CSI300,2270.936,2297.628,2269.116,2295.243,1146000500.0
2013-08-08 14:00:00,CSI300,2295.715,2296.151,2284.422,2286.296,1001183900.0
2013-08-08 15:00:00,CSI300,2286.166,2286.201,2269.66,2276.782,1531579000.0
2013-08-09 10:30:00,CSI300,2288.51,2301.59,2283.109,2293.649,1914091400.0
2013-08-09 11:30:00,CSI300,2293.739,2295.623,2258.334,2261.883,1894610400.0
2013-08-09 14:00:00,CSI300,2262.73,2275.418,2260.982,2271.971,1029831900.0
2013-08-09 15:00:00,CSI300,2272.116,2291.052,2271.932,2286.01,1621468000.0
2013-08-12 10:30:00,CSI300,2296.22,2319.902,2293.176,2310.328,2724460700.0
2013-08-12 11:30:00,CSI300,2310.007,2334.589,2307.398,2325.505,2379748100.0
2013-08-12 14:00:00,CSI300,2325.624,2337.69,2325.212,2334.215,1952898500.0
2013-08-12 15:00:00,CSI300,2334.362,2352.89,2333.553,2352.794,2729214300.0
2013-08-13 10:30:00,CSI300,2352.883,2360.827,2340.733,2342.366,3554407400.0
2013-08-13 11:30:00,CSI300,2342.452,2351.994,2342.374,2350.883,1231593300.0
2013-08-13 14:00:00,CSI300,2351.47,2356.738,2346.888,2354.29,1217206700.0
2013-08-13 15:00:00,CSI300,2354.353,2359.107,2348.751,2359.068,1836156200.0
2013-08-14 10:30:00,CSI300,2362.619,2386.599,2361.109,2364.09,3145154800.0
2013-08-14 11:30:00,CSI300,2363.891,2370.454,2357.595,2363.532,1398715500.0
2013-08-14 14:00:00,CSI300,2363.566,2370.128,2358.983,2364.281,1134519600.0
2013-08-14 15:00:00,CSI300,2363.72,2365.365,2340.833,2349.08,1915822900.0
2013-08-15 10:30:00,CSI300,2348.839,2362.089,2344.512,2361.526,2122169000.0
2013-08-15 11:30:00,CSI300,2361.717,2361.828,2342.249,2349.864,1210355600.0
2013-08-15 14:00:00,CSI300,2349.272,2349.272,2332.968,2333.208,1121105800.0
2013-08-15 15:00:00,CSI300,2333.411,2339.92,2319.784,2321.576,1741554900.0
2013-08-16 10:30:00,CSI300,2314.261,2324.809,2295.023,2304.388,2049680800.0
2013-08-16 11:30:00,CSI300,2304.344,2423.081,2298.31,2405.988,4303013600.0
2013-08-16 14:00:00,CSI300,2406.732,2408.937,2314.626,2329.882,3776605300.0
2013-08-16 15:00:00,CSI300,2329.749,2331.767,2302.953,2304.144,1907656600.0
2013-08-19 10:30:00,CSI300,2286.2039,2307.3749,2284.0779,2296.5119,2342711300.0
2013-08-19 11:30:00,CSI300,2296.7859,2297.7439,2287.0229,2297.7439,1140602000.0
2013-08-19 14:00:00,CSI300,2297.5479,2332.8719,2296.7719,2330.1369,1748312400.0
2013-08-19 15:00:00,CSI300,2331.8489,2340.1949,2321.7279,2331.4309,2016696700.0
2013-08-20 10:30:00,CSI300,2325.8629,2347.7969,2323.9759,2332.0039,2474974500.0
2013-08-20 11:30:00,CSI300,2332.0689,2353.4099,2331.8959,2336.4629,1557924600.0
2013-08-20 14:00:00,CSI300,2335.3379,2335.3379,2306.9479,2314.9459,1659030800.0
2013-08-20 15:00:00,CSI300,2314.9749,2320.1219,2303.6669,2312.4659,1616704600.0
2013-08-21 10:30:00,CSI300,2320.584,2321.642,2291.053,2299.199,2141032600.0
